2011-06-23 00:02:22 Debug: Notice (8): Undefined property: View::$Form in [C:\xampp\htdocs\orico_consulting\views\personas\add.ctp, line 2]
2011-06-24 17:17:08 Debug: Notice (8): Undefined property: View::$Orico in [C:\xampp\htdocs\orico_consulting\views\publico\prueba.ctp, line 3]
2011-06-24 17:18:40 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 100]
2011-06-24 17:20:39 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 100]
2011-06-24 17:56:59 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 100]
2011-06-24 17:58:57 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 91]
2011-06-24 17:59:08 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 91]
2011-06-24 18:00:25 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 91]
2011-06-24 18:02:15 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 91]
2011-06-24 18:04:35 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 91]
2011-06-24 18:08:13 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 91]
2011-06-24 18:11:12 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 91]
2011-06-24 18:20:01 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 87]
2011-06-24 18:20:08 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 87]
2011-06-24 18:21:23 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 87]
2011-06-24 19:11:56 Debug: Notice (8): Undefined variable: elementos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 31]
2011-06-25 14:39:57 Debug: Notice (8): Undefined variable: elementos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 31]
2011-06-25 16:06:15 Debug: Notice (8): Undefined property: PublicoController::$Seccion in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 15]
2011-06-25 16:06:35 Debug: Notice (8): Undefined property: PublicoController::$Seccion in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 15]
2011-06-25 16:29:34 Debug: Notice (8): Undefined variable: elementos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 31]
2011-06-25 16:31:49 Debug: Notice (8): Undefined variable: elementos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 31]
2011-06-25 16:40:55 Debug: Notice (8): Undefined variable: elementos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 31]
2011-06-25 17:09:15 Debug: Notice (8): Undefined variable: elementos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 31]
2011-06-25 17:28:08 Debug: Notice (8): Undefined variable: elementos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 31]
2011-06-25 18:26:04 Debug: Notice (8): Undefined property: PublicoController::$Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 16]
2011-06-27 17:20:48 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 90]
2011-06-27 19:09:01 Debug: Notice (8): Undefined property: PublicoController::$Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 18]
2011-06-30 15:02:19 Debug: Notice (8): Undefined variable: noticia in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 102]
2011-06-30 15:02:19 Debug: Notice (8): Undefined variable: noticia in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 95]
2011-06-30 15:02:54 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 102]
2011-06-30 15:02:54 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 95]
2011-06-30 18:58:51 Debug: Notice (8): Undefined variable: elementosFooter in [C:\xampp\htdocs\orico_consulting\views\publico\prueba.ctp, line 8]
2011-06-30 22:49:49 Debug: Notice (8): Undefined variable: menus in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 28]
2011-06-30 22:49:49 Debug: Notice (8): Undefined variable: noticias in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 50]
2011-06-30 22:49:49 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 165]
2011-06-30 22:49:49 Debug: Notice (8): Undefined variable: elementosFooter in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 69]
2011-07-14 16:08:06 Debug: Notice (8): Undefined index: menus in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 28]
2011-07-14 16:08:06 Debug: Notice (8): Undefined index: elementos in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 32]
2011-07-14 16:08:06 Debug: Notice (8): Undefined index: noticias in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 45]
2011-07-14 16:08:06 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 165]
2011-07-14 16:09:43 Debug: Notice (8): Undefined variable: secciones in [C:\xampp\htdocs\orico_consulting\views\publico\index.ctp, line 3]
2011-07-14 16:09:43 Debug: Notice (8): Undefined variable: seccionesGeneradas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 117]
2011-07-14 16:09:43 Debug: Notice (8): Undefined variable: contenidos in [C:\xampp\htdocs\orico_consulting\views\publico\index.ctp, line 7]
2011-07-14 17:27:15 Debug: Notice (8): Undefined variable: menus in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 28]
2011-07-14 20:12:57 Debug: Notice (8): Undefined property: ContactosController::$Session in [C:\xampp\htdocs\orico_consulting\controllers\contactos_controller.php, line 38]
2011-08-08 19:20:32 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 28]
2011-08-08 19:20:32 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 50]
2011-08-08 19:20:32 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 165]
2011-08-08 19:20:32 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 69]
2011-08-08 21:06:59 Debug: Notice (8): Undefined index: menus in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 28]
2011-08-08 21:06:59 Debug: Notice (8): Undefined index: noticias in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 50]
2011-08-08 21:06:59 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 173]
2011-08-11 14:35:34 Debug: Notice (8): Undefined variable: slug in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 94]
2011-08-11 14:35:45 Debug: Notice (8): Undefined variable: slug in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 94]
2011-08-12 15:24:33 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\publico\index.ctp, line 3]
2011-08-12 15:24:33 Debug: Notice (8): Undefined variable: seccionesGeneradas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 125]
2011-08-12 15:24:33 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\publico\index.ctp, line 7]
2011-08-12 15:29:04 Debug: Notice (8): Undefined variable: seccion in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 128]
2011-08-12 15:29:04 Debug: Notice (8): Undefined variable: seccion in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 130]
2011-08-12 15:29:04 Debug: Notice (8): Undefined variable: seccion in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 131]
2011-08-12 15:31:06 Debug: Notice (8): Undefined variable: seccion in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 128]
2011-08-12 15:31:06 Debug: Notice (8): Undefined variable: seccion in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 130]
2011-08-12 15:31:07 Debug: Notice (8): Undefined variable: seccion in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 131]
2011-08-12 16:23:07 Debug: Notice (8): Undefined index: titleDescription in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 17]
2011-08-12 16:23:16 Debug: Notice (8): Undefined index: titleDescription in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 17]
2011-08-12 16:55:51 Debug: Notice (8): Undefined property: View::$Seo in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 9]
2011-08-12 22:27:35 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 114]
2011-08-12 22:30:39 Debug: Notice (8): Undefined index: seccion in [C:\xampp\htdocs\orico_consulting\views\publico\prueba.ctp, line 9]
2011-08-12 22:49:12 Debug: Notice (8): Undefined index: seccion in [C:\xampp\htdocs\orico_consulting\views\publico\prueba.ctp, line 9]
2011-08-15 14:46:33 Debug: Notice (8): Undefined variable: seccionesGeneradas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 125]
2011-08-17 16:20:01 Debug: Notice (8): Undefined index: principal in [C:\xampp\htdocs\orico_consulting\views\secciones\index.ctp, line 33]
2011-08-17 19:41:30 Debug: Notice (8): Undefined index: principal in [C:\xampp\htdocs\orico_consulting\views\secciones\view.ctp, line 46]
2011-08-17 22:31:46 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 50]
2011-08-18 21:11:39 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 147]
2011-08-18 21:11:39 Debug: Notice (8): Undefined index: Seccion in [C:\xampp\htdocs\orico_consulting\views\publico\mostrar.ctp, line 6]
2011-08-18 21:11:39 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 147]
2011-08-18 21:11:39 Debug: Notice (8): Undefined index: Seccion in [C:\xampp\htdocs\orico_consulting\views\publico\mostrar.ctp, line 6]
